EPOCHS,MODEL,CUSTOM EMBEDDING,OPTIM,OUTPUT_SIZE,BATCH_SIZE,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
7,RNN,True,"ADAM,0.0001",32,50,59.67116951942444,60.3954553604126,0.6668462157249451,0.6688458323478699
8,RNN,True,"ADAM,0.0001",32,50,61.288291215896606,62.272727489471436,0.6558040976524353,0.6584852933883667
9,RNN,True,"ADAM,0.0001",32,50,62.74324059486389,61.609089374542236,0.6487036347389221,0.66614830493927
10,RNN,True,"ADAM,0.0001",32,50,62.864863872528076,63.0227267742157,0.6473531723022461,0.6498201489448547
11,RNN,True,"ADAM,0.0001",32,50,63.945943117141724,63.82727026939392,0.6410980224609375,0.6447613835334778
12,RNN,True,"ADAM,0.0001",32,50,64.02252316474915,63.13636302947998,0.6370401978492737,0.6507954597473145
13,RNN,True,"ADAM,0.0001",32,50,64.68468308448792,64.43636417388916,0.6358135938644409,0.6393488049507141
14,RNN,True,"ADAM,0.0001",32,50,64.93242979049683,59.259092807769775,0.6327028274536133,0.6866667866706848
15,RNN,True,"ADAM,0.0001",32,50,65.08108377456665,65.12272953987122,0.6317814588546753,0.6362241506576538
1,RNN,True,"ADAM,0.0001",32,100,50.581079721450806,50.700002908706665,0.6974418759346008,0.6958313584327698
2,RNN,True,"ADAM,0.0001",32,100,52.05405354499817,51.16363763809204,0.6914370656013489,0.694606602191925
3,RNN,True,"ADAM,0.0001",32,100,53.26126217842102,51.01363658905029,0.6893149018287659,0.6957827210426331
4,RNN,True,"ADAM,0.0001",32,100,53.99098992347717,51.06818079948425,0.6874657869338989,0.6954604387283325
5,RNN,True,"ADAM,0.0001",32,100,54.90090250968933,51.92272663116455,0.6860496401786804,0.6949611902236938
6,RNN,True,"ADAM,0.0001",32,100,55.17117381095886,52.204543352127075,0.6845580339431763,0.6946815252304077
7,RNN,True,"ADAM,0.0001",32,100,55.73423504829407,52.89090871810913,0.6829135417938232,0.6935908794403076
8,RNN,True,"ADAM,0.0001",32,100,56.52702450752258,54.168182611465454,0.6799908876419067,0.6916650533676147
9,RNN,True,"ADAM,0.0001",32,100,58.77928137779236,57.15454816818237,0.6721047163009644,0.6777967214584351
10,RNN,True,"ADAM,0.0001",32,100,62.49549388885498,61.15454435348511,0.6506060361862183,0.6663396954536438
11,RNN,True,"ADAM,0.0001",32,100,63.545042276382446,64.07727003097534,0.6412542462348938,0.6431453227996826
12,RNN,True,"ADAM,0.0001",32,100,64.30630683898926,64.16363716125488,0.6351786851882935,0.6401054263114929
13,RNN,True,"ADAM,0.0001",32,100,64.70720767974854,63.01363706588745,0.6319940090179443,0.6539443731307983
14,RNN,True,"ADAM,0.0001",32,100,65.3513491153717,64.87727165222168,0.6287275552749634,0.6360217928886414
15,RNN,True,"ADAM,0.0001",32,100,65.50450325012207,65.13636112213135,0.6262189149856567,0.6371778249740601
1,RNN,False,"ADAM,0.001",16,50,55.229729413986206,66.00909233093262,0.682126522064209,0.6276549100875854
2,RNN,False,"ADAM,0.001",16,50,65.52702784538269,62.300002574920654,0.6324514150619507,0.6570194363594055
3,RNN,False,"ADAM,0.001",16,50,69.48648691177368,66.56818389892578,0.5975956320762634,0.6326696872711182
4,RNN,False,"ADAM,0.001",16,50,65.61261415481567,51.67727470397949,0.6170345544815063,0.6935148239135742
5,RNN,False,"ADAM,0.001",16,50,56.99999928474426,52.33636498451233,0.6770046949386597,0.695946455001831
6,RNN,False,"ADAM,0.001",16,50,58.93242955207825,55.59090971946716,0.6571633815765381,0.6972428560256958
7,RNN,False,"ADAM,0.001",16,50,67.35135316848755,62.58181929588318,0.6036425828933716,0.6625027060508728
8,RNN,False,"ADAM,0.001",16,50,62.79729604721069,53.63636612892151,0.6332207918167114,0.7060244679450989
9,RNN,False,"ADAM,0.001",16,50,60.959458351135254,55.60454726219177,0.6417617797851562,0.7069002985954285
10,RNN,False,"ADAM,0.001",16,50,64.7882878780365,64.37727212905884,0.6119421720504761,0.6660829186439514
1,RNN,False,"ADAM,0.001",16,100,55.63964247703552,57.50908851623535,0.683287501335144,0.6783073544502258
2,RNN,False,"ADAM,0.001",16,100,65.94144105911255,66.02727174758911,0.6269795298576355,0.6330063343048096
3,RNN,False,"ADAM,0.001",16,100,69.63062882423401,59.93182063102722,0.5962546467781067,0.6911414265632629
4,RNN,False,"ADAM,0.001",16,100,63.09459209442139,58.41818451881409,0.6361954808235168,0.6843948364257812
5,RNN,False,"ADAM,0.001",16,100,68.0630624294281,61.622726917266846,0.6002766489982605,0.6782973408699036
6,RNN,False,"ADAM,0.001",16,100,71.3558554649353,63.5272741317749,0.5725620985031128,0.6720350980758667
7,RNN,False,"ADAM,0.001",16,100,73.09459447860718,67.17727184295654,0.5556982159614563,0.6402241587638855
8,RNN,False,"ADAM,0.001",16,100,74.64414238929749,68.01363825798035,0.539551317691803,0.6359075903892517
9,RNN,False,"ADAM,0.001",16,100,73.77477288246155,66.6772723197937,0.5491207838058472,0.6560764908790588
10,RNN,False,"ADAM,0.001",16,100,71.59459590911865,57.74545669555664,0.5624366402626038,0.6861920356750488
1,RNN,False,"ADAM,0.001",32,50,53.594595193862915,53.11363339424133,0.6888126134872437,0.6912344694137573
2,RNN,False,"ADAM,0.001",32,50,57.65315294265747,51.56363844871521,0.6753145456314087,0.6929466128349304
3,RNN,False,"ADAM,0.001",32,50,56.48648738861084,51.513636112213135,0.6750071048736572,0.700343668460846
4,RNN,False,"ADAM,0.001",32,50,57.56756663322449,51.93636417388916,0.6646430492401123,0.7073186039924622
5,RNN,False,"ADAM,0.001",32,50,57.46846795082092,51.71363353729248,0.6604645848274231,0.7117113471031189
6,RNN,False,"ADAM,0.001",32,50,58.03603529930115,52.20909118652344,0.657795250415802,0.7121163010597229
7,RNN,False,"ADAM,0.001",32,50,57.82883167266846,51.95000171661377,0.653407633304596,0.7163167595863342
8,RNN,False,"ADAM,0.001",32,50,58.477479219436646,52.218180894851685,0.6519060730934143,0.723242461681366
9,RNN,False,"ADAM,0.001",32,50,58.08107852935791,51.66817903518677,0.6504806876182556,0.7255605459213257
10,RNN,False,"ADAM,0.001",32,50,58.450448513031006,52.12727189064026,0.6483397483825684,0.7255142331123352
1,RNN,False,"ADAM,0.001",32,100,55.671173334121704,64.25454616546631,0.6819090247154236,0.6414295434951782
2,RNN,False,"ADAM,0.001",32,100,64.18468356132507,59.79999899864197,0.6401233077049255,0.6711418032646179
3,RNN,False,"ADAM,0.001",32,100,65.30179977416992,66.42727255821228,0.6255607008934021,0.6426270008087158
4,RNN,False,"ADAM,0.001",32,100,69.59009170532227,65.25909304618835,0.5855244994163513,0.6418017148971558
5,RNN,False,"ADAM,0.001",32,100,72.60810732841492,55.21363615989685,0.556377112865448,0.7441604137420654
6,RNN,False,"ADAM,0.001",32,100,64.45946097373962,66.76363348960876,0.6157447695732117,0.6510826945304871
7,RNN,False,"ADAM,0.001",32,100,67.33333468437195,63.00908923149109,0.5991895794868469,0.6797976493835449
8,RNN,False,"ADAM,0.001",32,100,72.24324345588684,66.74090623855591,0.5559968948364258,0.6510186195373535
9,RNN,False,"ADAM,0.001",32,100,75.40990710258484,64.23181891441345,0.523018479347229,0.6898381114006042
10,RNN,False,"ADAM,0.001",32,100,72.83783555030823,63.27272653579712,0.5457432866096497,0.7112284302711487
1,RNN,False,"ADAM,0.0001",16,50,51.66216492652893,52.204543352127075,0.6919733285903931,0.6912028193473816
2,RNN,False,"ADAM,0.0001",16,50,61.73423528671265,73.52272868156433,0.6526021361351013,0.5428692102432251
3,RNN,False,"ADAM,0.0001",16,50,78.68918776512146,77.74090766906738,0.470180869102478,0.4903225600719452
4,RNN,False,"ADAM,0.0001",16,50,81.84234499931335,78.89545559883118,0.4228459894657135,0.47221750020980835
5,RNN,False,"ADAM,0.0001",16,50,83.13513398170471,78.99545431137085,0.4024449586868286,0.4749535918235779
